"LOCATION_ID","lat","long","classification","EVC","EVH","EVT","HUC_08_ID","hli","soilorder","landform","ocs","cc_pct"
"site_217",60.7819435013877,-150.61230410347,0,104,110,3679,19020302,100,24,8000,82,45
"site_218",59.7131279763423,-150.736810601849,0,102,110,3679,19020300,100,35,1000,64,25
"site_219",61.2171772565436,-149.530822332919,0,101,110,3679,19020400,100,24,1000,95,15
"site_220",59.3328711165745,-151.951153202922,0,107,111,3644,19020300,200,16,1000,103,75
"site_221",60.3731202155849,-152.769877752869,0,104,109,3679,19020602,0,16,8000,89,45
"site_222",62.1889747309041,-151.288466017827,0,105,110,3677,19020504,0,16,1000,96,55
"site_223",60.5307745479479,-149.591458614597,0,107,110,3679,19020302,200,16,1000,82,75
"site_224",61.8728575824224,-150.951597786282,0,101,110,3677,19020504,0,24,6000,97,15
"site_225",61.9935911566081,-151.477920711248,0,105,110,3679,19020504,100,16,7000,101,55
"site_226",59.8936893484503,-151.054544717843,0,103,110,3677,19020300,100,16,4000,96,35
"site_227",60.0494572187166,-151.018971432591,0,104,109,3679,19020300,0,3,4000,105,45
"site_228",62.1348063192717,-151.953848148775,0,105,110,3677,19020504,100,16,6000,91,55
"site_229",60.9837949457293,-151.913693455574,0,104,109,3677,19020600,0,24,5000,90,45
"site_230",59.4277332105775,-151.397341830263,0,108,110,3644,19020300,0,16,1000,78,85
"site_231",60.6094669668367,-152.232775044494,0,101,110,3600,19020600,0,24,5000,85,15
"site_232",60.3289231036062,-152.508737499775,0,104,110,3679,19020602,200,24,4000,94,45
"site_233",60.2855344753832,-150.41719002376,0,106,110,3677,19020302,200,24,7000,89,65
"site_234",60.0025651608856,-150.808765656107,0,105,110,3679,19020300,100,16,6000,85,55
"site_235",59.4468673261293,-151.52535175825,0,108,110,3644,19020300,100,16,4000,88,85
"site_236",59.9298016228719,-149.573132982801,0,109,110,3644,19020202,100,16,6000,71,95
"site_237",61.8068314090396,-148.493807168931,0,105,110,3677,19020402,200,24,1000,85,55
"site_238",60.0691303234388,-151.003071252062,0,102,110,3677,19020300,200,3,1000,98,25
"site_239",62.3334238285905,-151.955734610871,0,105,110,3679,19020504,0,16,7000,96,55
"site_240",62.2466465721446,-150.806879194011,0,106,110,3679,19020504,200,24,1000,97,65
"site_241",60.7760146205125,-148.985095797816,0,104,108,3644,19020302,0,16,5000,87,45
"site_242",62.2967725649984,-152.055447607408,0,104,110,3679,19020504,100,16,1000,93,45
"site_243",60.3135619122478,-152.575841651499,0,101,110,3679,19020602,0,24,7000,100,15
"site_244",61.8491420589217,-148.612384786435,0,103,110,3600,19020402,100,24,1000,96,35
"site_245",60.4914283385034,-150.055258795788,0,108,110,3644,19020302,200,16,6000,89,85
"site_246",60.0968882657181,-152.809223962313,0,106,110,3679,19020602,0,16,6000,89,65
"site_247",60.0737117313879,-151.346137859068,0,105,110,3679,19020300,0,3,6000,94,55
"site_248",61.3503075816501,-150.749476847356,0,105,110,3679,19020504,0,24,5000,86,55
